Id,Clientes,Transacción,Categoría,Descripción,Precio,TipoContrato,Superficie,Área,Dirección,ÁreaInterior,Habitaciones,Baños,Edad,Edad_prom,Piso,Administración,Barrio,Estrato,Garages,Extras,Latitud,Longitud,PrecioM2,Ascensor,Depósito,ModifyDate,Link
188,MGM GESTION INMOBILIARIA,Venta,Apartamento,"APTO 91 MTS,  ILUMINADO, EXCELENTES ACABADO,  2 HABITACIONES, LA PRINCIPAL CUENTA CON AMPLIO WALK CLOSET, 2 BAÑOS, ESTUDIO, SALA COMEDOR, COCINA INTEGRAL ABIERTA, ZONA DE LAVANDERIA, 2 PARQUEADEROS,  DEPOSITO EN EL MISMO PISO DEL APTO. EL CONJUNTO CUENTA CON PORTERIA,  LOBBY, VIGILANCIA LAS 24 HORAS,  PARQUEADERO DE VISITANTES,  SALON SOCIAL,  TERRAZA BBQ CON VISTA PANORAMICA. VIAS DE ACCESO: AUT. NORTE, AV SUBA,  CALLE 100,  CALLE 106. CERCA A TRANSMILENIO. PRECIO NEGOCIABLE.",570000000,Professional,91,91,CARRERA 50  104B-68,"85,00 m2",2,2,1 a 8 años,4.5,5,356000,Pasadena,5,2,"Interiores$Balcón, Baño Auxiliar, Calentador, Citófono, Cocina Integral, Depósito / Bodega, Estudio, Hall de Alcobas, Instalación de gas, Zona de lavandería|Exteriores$Ascensor, Circuito cerrado de TV, Garaje(s), Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Salón de Juegos, Terraza, Vigilancia, Vista panorámica, Zona Infantil|del Sector$Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",0.0,0.0,6263736.26,1,1,2/15/2021 11:41:08 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5927171.aspx
189,Betty Agudelo,Venta,Apartamento,Apartamento de 72 m2 en excelente estado con 2 años de construido 2 alcobas 2 baños estudio cocina semi abierta y área de lavado Tiene balcón calentador de paso eléctrico y una chimenea funcional con 2 parqueaderos independientes y cubiertos además un depósito muy amplio La zona es muy funcional cuenta con un Carulla a menos de una cuadra además de panaderías restaurantes parques y gimnasios muy cerca sin embargo la calle donde está situado es muy tranquila,450000000,Particular,72,72,Carrera 51 102a-49,,2,2,1 a 8 años,4.5,3,558000,Pasadena,3,2,"Interiores$Balcón, Baño Auxiliar, Barra estilo americano, Calentador, Chimenea, Citófono, Cocina Integral, Cocina tipo Americano, Depósito / Bodega, Estudio, Instalación de gas, Zona de lavandería|Exteriores$Ascensor, Garaje(s), Portería / Recepción, Salón Comunal, Terraza, Vigilancia, Vista panorámica|del Sector$Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.69077014923096,-74.0621032714844,6250000.0,1,1,1/31/2021 6:37:29 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6052741.aspx
190,Daniel  Moncada,Venta,Apartamento,"Hermoso apartamento DUPLEX en 5°, con 2 habitaciones y un tercer nivel con estudio independiente, 3 baños, sala comedor con chimenea, cocina y patio de ropas, garaje y deposito. Super ubicado, sector tranquilo y seguro, edificio con ascensor y vigilancia privada.",390000000,Particular,76,76,Cr 53 103b,"76,00 m2",2,3,9 a 15 años,12.0,5,395000,Pasadena,5,1,"Interiores$Baño Auxiliar, Chimenea, Citófono, Cocina Integral, Depósito / Bodega, Estudio, Hall de Alcobas, Instalación de gas, Piso en Baldosa /  Mármol|Exteriores$Ascensor, Circuito cerrado de TV, Garaje(s), Portería / Recepción, Salón Comunal, Vigilancia, Vivienda Multifamiliar|del Sector$Parques cercanos, Sobre vía principal, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial|#Apartamento#$Duplex",4.69212055206299,-74.06256103515629,5131578.95,1,1,1/30/2021 10:17:15 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6051923.aspx
191,MOAVA HOUSE,Venta,Apartamento,"HERMOSO APARTAMENTO PARA VENTA,  INTERIOR,  MUY ILUMINADO,  3ALCOBAS CADA UNA CON BAÑO,  BAÑO SOCIAL,  SALA COMEDOR,  COCINA TIPO AMERICANO,  ZONA DE LAVADO,  ESTUDIO,  TERCER PISO,  CERCA A ESTACION DE TRASMILENIO,  AUTOPISTA CON 108,  AL FRENTE DEL EDIFICIO HUAWEI. SE PDRIA RECIBIR PROPIEDAD POR MENOR VALOR O VEHICULO..",650000000,Professional,108,108,CALLE 108 45A-59,"108,00 m2",3,4,1 a 8 años,4.5,3,500000,Pasadena,3,2,"Interiores$Alarma, Baño Auxiliar, Barra estilo americano, Calentador, Citófono, Cocina Integral, Cocina tipo Americano, Estudio, Instalación de gas, Zona de lavandería|Exteriores$Ascensor, Circuito cerrado de TV, Garaje(s), Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Vigilancia, Vivienda Multifamiliar|del Sector$Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Comercial, Zona Residencial",4.69562816619873,-74.0575180053711,6018518.52,1,0,3/10/2021 12:15:06 AM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6051556.aspx
192,Omar Rojas,Venta,Apartamento,"Super bello 100 metros 3 alcobas, 2 baños, cocina integral, sala comedor con chimenea, alcoba principal con Vestier-baño, estufa y calentador, a gas, zona lavandería, pisos madera laminada, 2 parqueaderos.",395000000,Particular,100,100,Cra 50  102A-75,"100,00 m2",3,2,16 a 30 años,23.0,5,700000,Pasadena,5,2,"Interiores$Calentador, Citófono, Cocina Integral, Cocina tipo Americano, Depósito / Bodega, Instalación de gas, Zona de lavandería|Exteriores$Ascensor, Circuito cerrado de TV, Parqueadero Visitantes, Salón Comunal, Terraza, Vigilancia|del Sector$Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Comercial|#Apartamento#$Duplex",4.69098997116089,-74.0614242553711,3950000.0,1,1,2/2/2021 9:49:14 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6049784.aspx
193,YB Inmobiliaria,Venta,Apartamento,"Este Apartamento de 110 m² cuenta con excelente distribución,  muy buena luz natural,  3 habitaciones,  2 baños,  estudio amplio,  cocina integral a gas,  2 garajes independientes,  Piso 5 Sin Ascensor Excelente Ubicación,  Sector muy Recursivo,  Cerca de la Calle 100,  AV Suba,  Autopista norte,  zonas Comerciales como Carulla,  los 3 elefantes.",410000000,Professional,110,110,Carrera 51  103b-23,,3,2,16 a 30 años,23.0,5,550000,Pasadena,5,2,"Interiores$Chimenea, Citófono, Cocina Integral, Cuarto de Servicio, Estudio, Hall de Alcobas, Instalación de gas, Zona de lavandería|Exteriores$Circuito cerrado de TV, Jardín, Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Vigilancia|del Sector$Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.691720008850099,-74.06195068359379,3727272.73,0,0,1/29/2021 9:50:08 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6049611.aspx
194,pilar moya,Venta,Apartamento,Vendo apartamento de 64 x 35 metros piso 201-sala comedor con balcón-alcoba principal con baño y closet. segunda alcoba con closet. cocina integral-zona lavandería-baño auxiliar-2 garajes-deposito,420000000,Particular,64,64,Cra 51  102A-49,"64,00 m2",2,2,1 a 8 años,4.5,2,500000,Pasadena,2,2,"Interiores$Balcón, Baño Auxiliar, Calentador, Citófono, Cocina Integral, Cocina tipo Americano, Depósito / Bodega, Instalación de gas, Piso en Baldosa /  Mármol, Zona de lavandería|Exteriores$Ascensor, Circuito cerrado de TV, Garaje(s), Jardín, Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Terraza, Vista panorámica|del Sector$Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Comercial, Zona Residencial",4.69077014923096,-74.0621032714844,6562500.0,1,1,2/2/2021 10:17:29 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6049549.aspx
195,Carlos torres,Venta,Apartamento,Amplio apartamento 3 habitaciones 3 baños sala comedor cocina integral estudio depósito 2 parqueaderos Puerta blindada,450000000,Particular,125,125,Carrera 52 # 106- 83,,3,3,9 a 15 años,12.0,0,450000,Pasadena,0,2,,4.69588184356689,-74.06207275390629,3600000.0,0,0,1/29/2021 10:15:39 AM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6047476.aspx
196,Nathaly  Beltran,Venta,Apartamento,"Se vende espectacular apartamento, excelente ubicación, súper iluminado, opción de venta amoblado. 1 habitación con vestiré y baño y  opción de la segunda habitación. 1 sala comedor con video bem Cortinas eléctricas  y Black out",510000000,Particular,87,87,Calle 103 50-16,"87,00 m2",1,2,1 a 8 años,4.5,6,477000,Pasadena,6,2,"Interiores$Balcón, Baño Auxiliar, Barra estilo americano, Calentador, Citófono, Cocina Integral, Cocina tipo Americano, Depósito / Bodega, Estudio, Instalación de gas|Exteriores$Ascensor, Circuito cerrado de TV, En conjunto cerrado, Garaje(s), Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Terraza, Vigilancia, Vivienda Multifamiliar|del Sector$Parques cercanos, Sobre vía principal, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",0.0,0.0,5862068.97,1,1,1/28/2021 11:06:30 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6046679.aspx
197,Tu Lugar Ideal,Venta,Apartamento,"Código 1249: Tu Lugar Ideal trae espectacular apartamento con 3 alcobas amplias,  la principal con baño y vestier,  1 parqueadero cubierto y parqueaderos de visitantes,  salón comunal,  un área de 99 Mt2 zona de alta valorización,  libre de deuda,  vigilacia 24/7,  chimenea a gas u energía,  divisiones en vidrio,  habitación principal con balcón,  vista exterior,  re-modelado,  iluminación natural,  sala y comedor amplias. Agenda ya,  disponibilidad inmediata .",475000000,Professional,99,99,Av Carrera 54 # 107A - 10,"99,00 m2",3,2,9 a 15 años,12.0,2,520000,Pasadena,2,1,"Interiores$Balcón, Cableado de Red, Chimenea, Citófono, Closet, Cocina Integral, Cocina tipo Americano, Depósito / Bodega, Despensa, Hall de Alcobas, Shut de basura|Exteriores$Ascensor, Circuito cerrado de TV, En conjunto cerrado, Portería / Vigilancia, Salón Comunal, Vigilancia privada 24*7|del Sector$Colegios / Universidades, Cómodas vias de acceso, Parques cercanos, Sobre vía secundaria, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.69700002670288,-74.06300354003909,4797979.8,1,1,3/24/2021 9:47:58 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5158192.aspx
198,Casa 360,Venta,Apartamento,"3435FR430 Se vende apartamento de 88 Mtrs Ubicado en zona residencial,  Cuenta con un muy buena distribucion 3 habitaciones,  la Hab principal tiene bano privado,  1 bano social,  Sala comedor,  Balcon,  Cocina integral,  Zona de lavado,  Estudio y muy buenos acabados. Tiene vigilancia privada 7/24,  2 parqueaderos cubiertos,  Acogedoras zonas comunes con lobby,  Salon social,  BBQ,  Salon de juegos y Zona infantil.  .",500000000,Professional,88,88,calle 107 Nº 52 - 08 ,"88,00 m2",3,2,9 a 15 años,12.0,2,370000,Pasadena,2,2,"Interiores$Balcón, Baño Auxiliar, Baño Independiente, Calentador, Citófono, Closet, Cocina Integral, Despensa, Estudio, Hall de Alcobas, Instalación de gas, Zona de lavandería|Exteriores$Acceso Pavimentado, Asador, Ascensor, Circuito cerrado de TV, En conjunto cerrado, Garaje / Parqueadero(s), Garaje(s), Oficina de negocios, Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Terraza, Vigilancia, Zonas Verdes|del Sector$Parques cercanos, Zona Residencial",4.6965217590332,-74.0619125366211,5681818.18,1,0,2/23/2021 11:45:45 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6118473.aspx
199,CARLOS RAMIREZ,Venta,Apartamento,"Hermoso apartamento ubicado en una de las mejores zonas residenciales de Bogotá (Pasadena). Cuenta con una excelente distribución con Cocina Integral moderna y bien equipada, zona de lavandería independiente, sala comedor, dos habitaciones con excelente espacio y dos baños. Cuenta con 2 parqueaderos en línea y 1 deposito amplio.",450000000,Particular,71,71,Cra 49B 105-21,"66,00 m2",2,2,1 a 8 años,4.5,2,550000,Pasadena,2,2,"Interiores$Barra estilo americano, Calentador, Citófono, Cocina Integral, Cocina tipo Americano, Depósito / Bodega, Zona de lavandería|Exteriores$Ascensor, Circuito cerrado de TV, Garaje(s), Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Terraza, Vigilancia|del Sector$Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial|#Apartamento#$Loft",4.69410991668701,-74.0601577758789,6338028.17,1,1,2/1/2021 7:40:44 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6039155.aspx
200,Angela Adriana  Gomez Arenas,Venta,Apartamento,Excelente ubicación junto a parque sala comedor con chimenea piso en madera maciza 2 alcobas ppal con baño privado segunda alcoba con baño en hall de alcobas cocina tipo americano zona de lavandería calentador a gas 1 garaje cubierto buenas vías de acceso rodeado de parques zona comercial muy cerca,290000000,Particular,54,54,Carrera 52  106-20,,2,2,16 a 30 años,23.0,4,440000,Pasadena,4,1,"Interiores$Calentador, Chimenea, Citófono, Cocina Integral, Cocina tipo Americano, Instalación de gas, Zona de lavandería|Exteriores$Ascensor, Circuito cerrado de TV, En conjunto cerrado, Portería / Recepción, Salón Comunal, Vigilancia|del Sector$Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.68513298034668,-74.0693130493164,5370370.37,1,0,3/16/2021 11:59:27 AM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6039153.aspx
201,Daniel  Moncada,Venta,Apartamento,"Hermoso apartamento DUPLEX en 5°, con 2 habitaciones y un tercer nivel con estudio independiente, 3 baños, sala comedor con chimenea, cocina y patio de ropas, garaje y deposito. Super ubicado, sector tranquilo y seguro, edificio con ascensor y vigilancia privada.",390000000,Particular,76,76,Cr 53 103b,"76,00 m2",2,3,9 a 15 años,12.0,5,395000,Pasadena,5,1,"Interiores$Baño Auxiliar, Chimenea, Citófono, Cocina Integral, Depósito / Bodega, Estudio, Hall de Alcobas, Instalación de gas, Piso en Baldosa /  Mármol|Exteriores$Ascensor, Circuito cerrado de TV, Garaje(s), Portería / Recepción, Salón Comunal, Vigilancia, Vivienda Multifamiliar|del Sector$Parques cercanos, Sobre vía principal, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial|#Apartamento#$Duplex",4.69212055206299,-74.06256103515629,5131578.95,1,1,1/30/2021 10:17:15 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6051923.aspx
202,Inmobiliaria COBRACS SAS,Venta,Apartamento,"Apartamento Ubicado en Pasadena , ,  conjunto Torres de Zamora ,  especificaciones : Sala comedor con chimenea, cocina ,  cuarto de ropas ,  dos habitaciones ,  dos baños ,  habitación principal con baño ,  vestier , Apartamento interior ,  un garaje ,  y un deposito ,  26 años de construcción ,  zonas comunes , un salón comunal y un ascensor .cerca a la calle 100 y a la suba..",380000000,Professional,74,74,Calle 107 # 53 - 20,"74,00 m2",2,2,16 a 30 años,23.0,0,0,Pasadena,0,1,"Interiores$Baño Auxiliar, Chimenea, Cocina Integral, Depósito / Bodega, Piso en Baldosa /  Mármol, Shut de basura|Exteriores$Ascensor, En conjunto cerrado, Garaje Cubierto, Parqueadero Visitantes, Portería / Vigilancia, Salón Comunal, Zonas Verdes|del Sector$Cómodas vias de acceso, Parques cercanos, Sobre vía secundaria, Supermercados / C.Comerciales, Trans. Público cercano, Zona Comercial, Zona Residencial",4.69600009918213,-74.06199645996091,5135135.14,1,1,3/11/2021 4:38:04 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6127495.aspx
203,Jaan Céspedes,Venta,Apartamento,Acabados de lujo 5 piso con ascensor garage doble deposito,370000000,Particular,57,57,Cra 51 102a 63,,1,2,,0.0,5,0,Pasadena,5,2,Exteriores$Ascensor,4.690890789031981,-74.06175231933591,6491228.07,1,0,3/16/2021 3:33:02 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6158607.aspx
204,Remax Focus,Venta,Apartamento,"VENDO APARTAMENTO DE 116M2 EN ESTORIL / PASADENA . CONSTA DE 3ALCOBAS ,  2 BAÑOS ,  BAÑO SOCIAL,  CUARTO Y BAÑO DE SERVICIO,  AREA SOCIAL CON CHIMENEA,  COMEDOR,  COCINA INTEGRAL CON ESTUFA MIXTA,  HORNO ELECTRICO,  ZONA DE LAVANDERIA Y CALENTADOR A GAS. ESPACIOS AMPLIOS Y CON VENTANALES QUE FAVORECEN LA ENTRADA DE LUZ Y VENTILACION. PISOS EN MARMOL Y LAMINADO. CUENTA CON 2 PARQUEADEROS INDEPENDIENTES Y DEPOSITO. EL EDIFICIO ESTA AUTOMATIZADO,  TIENEN INGRESO A PARQUEADEROS CON PUERTA ELECTRICA TEMPORIZADA,  INGRESO POR LA PUERTA DEL EDIFICIO CON LLAVE Y CLAVE,  ADEMAS CUENTA VIDEO PORTERO,  ASCENSOR,  CAMARAS DE SEGURIDAD Y VIGILANCIA DE 9 HORAS AL DIA DE LUNES A VIERNES.   VALOR ADMINISTRACION SIN DESCUENTO $468.0000 BUENA UBICACIÓN! EXCELENTE OPORTUNIDAD!.",510000000,Professional,116,116,Carrera 47 # 106A - 65,"116,00 m2",3,3,Más de 30 años,40.0,0,468000,Pasadena,0,2,,4.69500017166138,-74.05799865722659,4396551.72,0,0,2/13/2021 4:00:36 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6093525.aspx
205,Gran Urbe Inmobiliaria,Venta,Apartamento,"Bellísimo apartamento de 78 mts2. en privilegiada ubicación de Pasadena. Este magnífico espacio cuenta con 2 habitaciones y 2 baños (la principal con baño privado),  sala-comedor,  cocina integral cerrada en línea,  espacio independiente para torre de lavadora/secadora y 1 parqueadero. Apartamento con muy buena distribución,  iluminación y en buen estado..",327000000,Professional,78,78,Calle 103 B  51 - 41,"78,00 m2",2,2,16 a 30 años,23.0,5,420000,Pasadena,5,1,"Interiores$Calentador, Citófono, Cocina Integral, Estudio, Instalación de gas, Piso en Baldosa /  Mármol, Zona de lavandería|Exteriores$Ascensor, Circuito cerrado de TV, Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Vigilancia|del Sector$Parques cercanos, Sobre vía principal, Supermercados / C.Comerciales, Trans. Público cercano, Zona Comercial, Zona Residencial",4.69159269332886,-74.06298828125,4192307.69,1,0,3/2/2021 9:50:55 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-4874700.aspx
206,Tu Agenda Inmobiliaria SAS,Venta,Apartamento,VENTA DE APARTAMENTO EN PASADENA     Primer piso elevado  Edificio 2 pisos con 4 aptos  Área: 110 m2 construidos  2 parqueaderos con matrícula independiente   Depósito 6m2   3 habitaciones  3 baños   Cocina integral  100% remodelado   30 años de antigüedad  Admón 380.000 con conserje     - Precio de venta: $630.000.000 .,630000000,Professional,110,110,calle 107 #54-75,"110,00 m2",3,3,Más de 30 años,40.0,1,250000,Pasadena,1,2,"Interiores$Baño Independiente, Calentador, Chimenea, Closet, Cocina Integral, Depósito / Bodega, Despensa, Instalación de gas, Zona de lavandería|Exteriores$Acceso Pavimentado, Zonas Verdes|del Sector$Supermercados / C.Comerciales, Zona Residencial",4.69506645202637,-74.05384826660159,5727272.73,0,1,3/24/2021 6:30:44 AM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6110231.aspx
207,RAFAEL DIAZ,Venta,Apartamento,"Apartamento duplex,  exterior,  muy iluminado,  cuenta con 3 habitaciones,  2 baños,  estudio,  terraza (6 mts),  2 parqueaderos y depósito.   Acutalmente se encuentra arrendado,  excelente oportunidad para invertir. .",450000000,Professional,110,110,Carrera 50 # 103B-33,"110,00 m2",3,2,16 a 30 años,23.0,5,677000,Pasadena,5,2,"Interiores$Baño Independiente, Calentador, Chimenea, Cocina Integral, Depósito / Bodega, Instalación de gas, Zona de lavandería|Exteriores$Acceso Pavimentado, Ascensor, Circuito cerrado de TV, Portería / Recepción, Salón Comunal, Vigilancia, Vista panorámica|del Sector$Zona Residencial",4.69203329086304,-74.0613632202148,4090909.09,1,1,1/25/2021 2:50:15 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5721191.aspx
208,valeria  luque,Venta,Apartamento,Vendo apartamento duplex remodelado y moderno en el primer piso se encuentra zona de comedor una terraza a la entrada la sala baño de invitados y una terraza al fondo perfecta para hacer una zona bbq la cocina y zona de lavado en el segundo piso se encuentran dos cuartos el cuarto principal con un baño amplio y una terraza el otro cuarto es sencillo un apto iluminado tranquilo y amplio perfecto para parejas o personas que quieran vivir solas sin parqueadero precio negociable.,285000000,Particular,51,51,cra 53 #103b-80,"51,00 m2",2,2,9 a 15 años,12.0,0,250000,Pasadena,0,0,"Interiores$Balcón, Calentador, Citófono|Exteriores$Ascensor, Parqueadero Visitantes, Portería / Recepción|del Sector$Parques cercanos, Sobre vía principal, Supermercados / C.Comerciales, Trans. Público cercano|#Apartamento#$Duplex",4.69273519515991,-74.062370300293,5588235.29,1,0,2/16/2021 6:17:43 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6032876.aspx
209,Sandra O Mendoza,Venta,Apartamento,Tercer piso sin ascensor 53 mts 2 habitaciones la principal con baño privado y un baño completo adicional Sala comedor cocina y espacio para lavandería 1 garaje de uso exclusivo 1 depósito de uso exclusivo,260000000,Particular,53,53,Carrera 51 # 103,,2,2,,0.0,0,0,Pasadena,0,1,,4.69287776947021,-74.0617294311523,4905660.38,0,0,3/24/2021 10:19:28 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6022332.aspx
210,Patricia Borrego,Venta,Apartamento,Apartamento exterior tercer piso sin ascensor 1 garaje dos alcobas precio 290 millones negociables,290000000,Particular,54,54,Pasadena,,2,1,16 a 30 años,23.0,0,300000,Pasadena,0,1,,4.69255781173706,-74.06085205078129,5370370.37,0,0,1/20/2021 3:46:29 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6022227.aspx
211,Century 21 Capital Real Estate,Venta,Apartamento,"Apto de 3 hab (principal con baño). Baño social. Estudio. Cuarto de servicio con baño. Inmueble en piso 5,  Interior bien iluminado. Estufa de Gas. Cocina de Gas. Horno Eléctrico. Edificio Sin ascensor. Vigilancia las 24 horas. Chimenea en Sala. 2 Parqueaderos (1 techado y 1 sin techo). Salón comunal. Un apartamento por piso y el Edifico cuenta solo con 5 pisos. Estrato 5.  Apartamento a pocas cuadras de calle 100 con suba. Comercios cercanos de Farmacias,  Carulla Express,  Centro Comercial Iserra 100..",430000000,Professional,104,104,Carrera 51 # 103B - 23,"104,00 m2",3,2,16 a 30 años,23.0,0,550000,Pasadena,0,2,"Interiores$Cuarto de Servicio, Estudio|Exteriores$Salón Comunal, Vigilancia privada 24*7|del Sector$Cómodas vias de acceso",4.69199991226196,-74.06199645996091,4134615.38,0,0,2/18/2021 3:24:26 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6107929.aspx
212,Inmuebles XC,Venta,Apartamento,"LINDO APARTAMENTO EN FABULOSO EDIFICIO. APTO ILUMINADO,  SALA COMEDOR CON CHIMENEA,  2 HABITACIONES AMPLIAS,  2 BAÑOS COMPLETOS,  COCINA INTEGRAL,  ZONA DE LAVANDERÍA. EL EDIFICICIO CUENTA CON EXCELENTES ÁREAS COMUNES,  TERRAZA CON BBQ,  GIMNASIO,  AMPLIO SALÓN SOCIAL,  PARQUE INFANTIL,  PARQUEADEROS PARA VISITANTES. UBICADÍSIMO,  CENTRAL PARA COLEGIOS Y UNIVERSIDADES. CERCA DE TRANSMILENIOS SUBA Y AUTOPÍSTAS,  AVENIDAS.CENTROS COMERCIALES,  BANCOS,  RESTAURANTES,  ETC. VALOR ARRIENDO $2100.000 INCLUIDA ADMÓN.",480000000,Professional,77,77,CRA 50  105,"74,00 m2",2,2,16 a 30 años,23.0,3,510000,Pasadena,3,1,"Interiores$Calentador, Chimenea, Citófono, Cocina Integral, Depósito / Bodega, Instalación de gas, Zona de lavandería|Exteriores$Ascensor, Circuito cerrado de TV, Garaje(s), Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Salón de Juegos, Terraza, Vigilancia, Zona Infantil, Zonas Verdes|del Sector$Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.632665634155269,-74.1031112670898,6166495.38,1,1,1/21/2021 3:22:25 AM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6024486.aspx
213,SARASWATI BIENES RAICES,Venta,Apartamento,"Lindo apto. dúplex en Pasadena,  excelente ubicación,  equidistante a avenidas,  zona residencial c/colegios,  supermercados y c.ciales. Rodeado de zonas verdes. 1er nivel: amplia zona social,  baño auxiliar,  estudio,  cocina integral,  zona de lavandería. Depósito. 2do nivel: 3 habitaciones, con closet,  dos baños,  terraza. Ventilación e iluminación natural en todo el apto,  no necesita encender bombillas en el día. Escaleras c/luz cenital igual que baños. Garaje cubierto y bicicletero. Visíltelo oferte..",570000000,Professional,100,100,carrera 50 103 b,"100,00 m2",3,3,9 a 15 años,12.0,5,750000,Pasadena,5,1,"Interiores$Alarma, Balcón, Baño Auxiliar, Calentador, Chimenea, Citófono, Cocina Integral, Depósito / Bodega, Estudio, Hall de Alcobas, Instalación de gas, Patio, Piso en Baldosa /  Mármol, Zona de lavandería|Exteriores$Ascensor, Circuito cerrado de TV, Jardín, Parqueadero Visitantes, Portería / Recepción, Terraza, Vigilancia, Vista panorámica|del Sector$Colegios / Universidades, Parques cercanos, Sobre vía principal, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial|#Apartamento#$Duplex",0.0,0.0,5644123.18,1,1,3/25/2021 12:55:14 AM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6003793.aspx
214,Pilar  GOMEZ,Venta,Apartamento,Apartamento de 105 m2 3 años de construido todo exterior muy luminoso con techos altos cuarto piso con vistas a los cerros desde la alcoba principal y al occidente desde el resto de habitaciones sala y comedor Ventanería en PVC y vidrio cámara con refuerzo en aislamiento acústico y térmico Vistas a diversos parques y jardines hermosos atardeceres durante todo el año Amplias zonas comunes y corredores de los apartamentos Ubicación estratégica rápido acceso autopista norte Av 68 Calles 100y 116,695000000,Particular,105,105,Calle 104a# 45a-55 apt 402 ,"105,00 m2",3,3,1 a 8 años,4.5,0,580000,Pasadena,0,2,"Interiores$Balcón, Baño Auxiliar, Barra estilo americano, Citófono, Cocina Integral, Cocina tipo Americano, Depósito / Bodega|Exteriores$Ascensor, En conjunto cerrado, Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Salón de Juegos, Vista panorámica|del Sector$Parques cercanos",4.99571084976196,-74.0234680175781,6619047.62,1,1,3/19/2021 10:04:56 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6014926.aspx
